AssetTag,DeviceModel,PurchaseDate,WarrantyEndDate,Status,CostCentre
LT-10021,HP EliteBook x360 1030 G8,2022-03-14,2026-03-14,Active,IT-OPS
LT-10022,HP EliteBook x360 1030 G7,2021-11-02,2025-11-02,Active,FIN
LT-10023,HP Elite x360 830 13 G11,2023-06-19,2027-06-19,Active,HR
LT-10024,Dell Precision 5570,2022-01-08,2026-01-08,Active,ENG
LT-10025,HP ZBook Firefly 14 G8,2020-09-25,2024-09-25,Inactive,ENG
LT-10026,HP EliteBook x360 1030 G4,2019-05-30,2023-05-30,Inactive,OPS
LT-10027,HP Elite x360 830 13 G9,2022-08-11,2026-08-11,Active,LEGAL
LT-10028,HP ZBook 8 G1i Mobile Workstation,2023-02-27,2027-02-27,Active,ENG
LT-10029,HP EliteBook x360 1030 G8,2021-12-15,2025-12-15,Active,FIN
LT-10030,HP ZBook Firefly 14 G10,2023-09-01,2027-09-01,Active,ENG
LT-10031,HP EliteBook x360 1030 G7,2020-04-17,2024-04-17,Inactive,HR
LT-10032,HP Elite x360 830 13 G11,2024-01-22,2028-01-22,Active,OPS
LT-10033,Dell Precision 5570,2021-07-05,2025-07-05,Active,ENG
LT-10034,HP EliteBook x360 1030 G4,2019-10-10,2023-10-10,Inactive,FIN
LT-10035,HP ZBook Firefly 14 G8,2022-05-28,2026-05-28,Active,LEGAL
