CaseID,Postcode,Industry,CaseType,Date
C-9001,2830,Retail Trade,CX Case,2025-01-12
C-9002,2320,Construction,Mediation Application,2025-01-20
C-9003,2000,Professional Services,CX Case,2025-02-04
C-9004,2560,Retail Trade,CX Case,2025-02-18
C-9005,2500,Accommodation,Mediation Application,2025-03-02
C-9006,2148,Construction,CX Case,2025-03-15
C-9007,2790,Retail Trade,Mediation Application,2025-04-09
C-9008,2170,Professional Services,CX Case,2025-05-22
C-9009,2444,Accommodation,CX Case,2025-06-11
C-9010,2650,Construction,Mediation Application,2025-07-08
C-9011,2250,Retail Trade,CX Case,2025-08-14
C-9012,2480,Professional Services,Mediation Application,2025-09-19
